unique_id,timestamp,x_shape,eval_test,model_version,model_version_note,runtime
f48adc43-b59a-4fba-8de0-c0e0d7d6d59c,1612438037.9948869,5 x 1,"{'country': 'France', 'rmse': 1077.87, 'mape': 100}",0.1,auto_arima,000:00:01
0a6fe8e5-6871-427a-ae0f-27bde1c9b5cb,1612438038.1141021,5 x 1,"{'country': 'Germany', 'rmse': 935.34, 'mape': 100}",0.1,auto_arima,000:00:01
a1eedfa1-8044-44e3-a90b-c4fb2d7af384,1612438038.2599528,5 x 1,"{'country': 'EIRE', 'rmse': 1125.31, 'mape': 100}",0.1,auto_arima,000:00:01
1570c6e4-1645-4c63-82e8-d859f9d40c4e,1612438038.378797,5 x 1,"{'country': 'Belgium', 'rmse': 513.34, 'mape': 100}",0.1,auto_arima,000:00:01
41c08886-19d5-4c39-85c1-08a12c5bd3f6,1612438038.557278,5 x 1,"{'country': 'Netherlands', 'rmse': 1037.65, 'mape': 100}",0.1,auto_arima,000:00:01
2d9418b5-72e0-4565-8129-f37781a00953,1612438038.697023,5 x 1,"{'country': 'Norway', 'rmse': 826.75, 'mape': 100}",0.1,auto_arima,000:00:02
81bc407f-0d67-43a8-822e-ea762998ebfb,1612438038.823395,5 x 1,"{'country': 'Switzerland', 'rmse': 839.99, 'mape': 100}",0.1,auto_arima,000:00:02
dc6842b5-3fc2-487c-9b78-e3d2ffcd49f9,1612438674.520808,5 x 1,"{'country': 'United Kingdom', 'rmse': 12227.42, 'mape': 35}",0.1,auto_arima,000:00:01
5e10e62d-53e6-4a22-9c30-5790f33144c6,1612438674.64609,5 x 1,"{'country': 'Spain', 'rmse': 174.39, 'mape': 46}",0.1,auto_arima,000:00:01
28c3e38d-57c8-456d-85de-fdd88dd61210,1612438674.754401,5 x 1,"{'country': 'France', 'rmse': 577.09, 'mape': 36}",0.1,auto_arima,000:00:01
71d13cbe-5f0b-4b93-b2f1-fde930c35a58,1612438674.8820338,5 x 1,"{'country': 'Germany', 'rmse': 228.78, 'mape': 21}",0.1,auto_arima,000:00:01
ae72edb0-7d78-407a-a80d-9d37c6270c14,1612438675.000763,5 x 1,"{'country': 'EIRE', 'rmse': 1572.78, 'mape': 151}",0.1,auto_arima,000:00:02
c334b0f4-9659-47a2-917c-6847781d3587,1612438675.105268,5 x 1,"{'country': 'Belgium', 'rmse': 288.07, 'mape': 52}",0.1,auto_arima,000:00:02
d2477234-5551-4a73-88e8-d9c9b0f2e4f6,1612438675.2306821,5 x 1,"{'country': 'Netherlands', 'rmse': 533.53, 'mape': 43}",0.1,auto_arima,000:00:02
9bb1a38e-d477-47ca-8966-e2164be8ff6d,1612438675.334492,5 x 1,"{'country': 'Norway', 'rmse': 289.91, 'mape': 38}",0.1,auto_arima,000:00:02
65a67802-d3b0-4f62-8e61-7b5f77f465a5,1612438675.4338188,5 x 1,"{'country': 'Switzerland', 'rmse': 378.36, 'mape': 84}",0.1,auto_arima,000:00:02
35b5334e-1891-48dd-89aa-b2cb9101f2a0,1612438937.542133,21 x 1,"{'country': 'United Kingdom', 'rmse': 4805.55, 'mape': 19}",0.1,auto_arima,000:00:01
0ff7b881-4abc-4332-b6ab-89173ff18779,1612438937.666827,21 x 1,"{'country': 'France', 'rmse': 230.66, 'mape': 26}",0.1,auto_arima,000:00:02
3a08a461-ff5b-4d3a-8eba-6647da4ce818,1612438937.7862458,21 x 1,"{'country': 'Belgium', 'rmse': 156.52, 'mape': 48}",0.1,auto_arima,000:00:02
16399d1e-33fa-447e-820c-679799cd63e1,1612438937.904626,21 x 1,"{'country': 'EIRE', 'rmse': 442.61, 'mape': 24}",0.1,auto_arima,000:00:02
